term,pos,notes,is_case_sensitive,translation_ja,notes_ja
loremaster,noun,,false,伝承者,ドワーフ族の賢者、伝承家とも呼ばれる
loyal,noun,,false,忠義,ユニットの特性の一つ。維持費が0になる。
macros,noun,,false,マクロ,複雑な操作の手順をあらかじめ登録しておき、必要なときに簡単に実行させる機能。
mage,noun,,false,魔術師,
mages,noun,,false,魔術師,
magi,noun,,false,魔術師,"mage とどう違うのか不明。
辞書的にはゾロアスター教の司祭 magus の複数形らしい。大文字の Magus / Magi は「博士」とか「賢者」などと訳されることがある。高位の mage というイメージかも。"
magic ministry,noun,,false,魔法大臣,Wesnoth王国の役職
map,noun,,false,マップ,
map editor,noun,,false,マップエディタ,本体に組み込まれているので、「in-game map editor」とも言う。
map generator,noun,,false,マップジェネレーター,
mask,noun,,false,マスク,
meat,noun,,false,人肉,"""meat"" は、オークが用いる人間族の蔑称で、オークが人間族を食すことを含意する。訳の候補は「肉」「お肉」「人肉」「獲物」など。とりあえず「人肉」としておく。"
melee,noun,,false,近接,攻撃の分類
melee weapon,noun,,false,近接武器,
merfolk,noun,,false,マーフォーク、海の種族,"種族の一つ。男性はマーマン、女性はマーメイドと呼ばれる。
マーマン族とは訳さない。"
mermaid,noun,,false,マーメイド,マーフォークの女性
merman,noun,,false,マーマン,マーフォークの男性。
mermen,noun,,false,マーマンたち、マーフォーク,"mermanの複数形
マーマンだけでなく、マーメイドも含む集団を表す場合はマーフォークと訳する
マーフォークも参照。"
minimap,noun,,false,ミニマップ,マップ全体を概観するための縮小された地図。
mixed terrain,noun,,false,複合地形,地形のタイプの一つ。
morning,noun,,false,朝,時刻サイクル。
mouse,noun,,false,マウス,コンピューターの入力装置であるあれ。
movement,noun,,false,移動,
movement cost,noun,,false,移動コスト,
movement point,noun,,false,移動力,
movement points,noun,,false,移動力,
multiplayer,noun,,false,マルチプレイヤー,複数人で遊ぶためのゲームモード。
music,noun,,false,BGM,"設定項目に出てくるmusicはだいたいBGMのことを指している。
たまに効果音などを含む音楽全般を意味することもあるので注意。"
nagas,noun,,false,ナーガ,
nagini,noun,,false,ナギニ、ナーガ,"ユニット名についてはナギニ、種族名についてはナーガ。
ナーガの女性を表す。"
named area,noun,,false,名前付き領域,マップ・シナリオエディタで使用される、名前をつけられた領域。
named areas,noun,,false,名前付き領域,マップ・シナリオエディタで使用される、名前をつけられた領域。
necromancer,noun,,false,ネクロマンサー、降霊術師、死霊魔術師、死霊使い,ユニット名を表す場合は、「ネクロマンサー」そうでないときは文脈に応じて使い分ける。
nick,noun,,false,ニックネーム,ニックネームは 20 文字以下で、同じサーバー上では重複できない仕様になっている。
night,noun,,false,夜間,秩序ユニットが弱体化され、混沌ユニットが強化される時刻。夜と深夜を合わせたもの。当然、ゲーム内時刻やアラインメントとは関係の無い普通の英単語の場合もあるので注意。
normal,adjective,,false,ノーマル,難易度のNormalの対訳は「普通」ではなく「ノーマル」を充てている。
oasis,noun,,false,オアシス,地形。村と同様の回復効果がある。
observer,noun,,false,観戦者,マルチプレイ時にゲームに直接参加せずに、観戦している人。略してobs。
observers,noun,,false,観戦者,
ogre,,,false,オーガ,
opponent,noun,,false,敵、対戦相手,
opponents,noun,,false,敵、対戦相手,
orb,noun,,false,宝珠,ユニットのHPバーの上に表示されているアレ。移動可能かどうかや、友軍・敵軍の判別に使う。
orbs,noun,,false,宝珠,ユニットのHPバーの上に表示されているアレ。移動可能かどうかや、友軍・敵軍の判別に使う。
orc,noun,,false,オーク,種族
orcs,noun,,false,オーク,オーク、オーク族
paint tool,noun,,false,ペイントツール,マップ・シナリオエディタのツールの1つ
pallete,noun,,false,パレット,たぶんPaletteの間違い？
parameter,noun,,false,パラメータ,
parry,noun,,false,回避,
password,noun,,false,パスワード,
paste,noun,,false,貼り付け,ペーストではなく貼り付け
paste tool,noun,,false,貼り付けツール,マップ・シナリオエディタのツールの1つ
path,noun,,false,パス,ファイルやフォルダの所在を表す文字列。
petrified,noun,,false,石化,ユニットの状態。石化したユニットは行動できず、ただのオブジェクトのように扱われる。
pierce,noun,,false,刺突,"ダメージ型の1つ。
「貫通」から「刺突」に変更。"
plain text file,noun,,false,プレーンテキストファイル,普通のテキストファイル。メモ帳などのテキストエディタで読み込める。
player,noun,,false,プレイヤー,最後の長音符（ー）は付ける。
playlist manager,noun,,false,プレイリストマネージャ,
poison,noun,,false,毒,特殊武器の一つ。
preprocess,,,false,前処理,プリプロセス
preprocessed,,,false,前処理された,"処理された。
プリプロセスされた。"
preprocessing,noun,,false,前処理,プリプロセス
preprocessor,noun,,false,プリプロセッサ,
publish,verb,,false,公開,
quick,noun,,false,敏捷,特性の一つ。移動力が増えるが、体力が減る。
race,noun,,false,種族,エルフ、人間、オークなど
races,noun,,false,種族,
range,noun,,false,射程,
ranged,noun,,false,遠隔,攻撃の分類
ranged weapon,noun,,false,遠隔武器,
recall,noun,,false,召還,以前に雇用などで仲間になったユニットを呼び出すこと。
recalls,noun,,false,召還,
recruit,noun,,false,雇用,新しいユニットを雇うこと。
recruits,noun,,false,雇用,
regeneration,noun,,false,再生,ユニットが持つ能力の一つ。
registered users,noun,,false,登録ユーザー,"ニックネーム
パスワード
メールアドレス（任意）"
reload,noun,,false,再開,意味はloadとほぼ同じなので統一
remote scenario,noun,,false,リモートシナリオ,"マルチプレイヤーゲームのリストにおいて、そのゲームのシナリオのハッシュ値がオリジナルのデータと異なっている場合にこれに分類されるっぽい？
オリジナルのデータの存在しないランダムマップや、world conquestみたいなマップを生成するシナリオが該当する。"
replay,noun,,false,リプレイ,
replays,noun,,false,リプレイ,
resilient,noun,,false,頑強,ユニットの特性の一つ。体力が増える。
resistance,noun,,false,耐性,
resistances,noun,,false,耐性,
resources,noun,,false,リソース,
resting,noun,,false,休息,ユニットを行動させなかった際の回復。
right panel,noun,,false,右パネル,画面右側の ミニマップ等が表示されている部分。
river road,noun,,false,河川道,緑の島の地名。
road,noun,,false,道,地形の一つ。
room,noun,,false,部屋,マルチプレイヤー用語。
rooms file,noun,,false,部屋ファイル,
rune,noun,,false,ルーン,神秘的な力をもった記号や文字。呪印。
runemaster,noun,,false,ルーンマスター,
runesmith,noun,,false,ルーンスミス,より説明的に訳す場合は「ルーンの鍛冶職人」。
runner,noun,,false,「二本脚」,"二足歩行の動物を指すのにドレークが用いる最も簡便な用語。""Wings of Victory（勝利の翼）"" の冒頭の時点では、ドレークが知る ""runner"" は人間族のみ。
取りあえず「二本脚」と訳すが、「二足歩行」も検討に値する。"
saurians,noun,,false,トカゲ,トカゲ、トカゲ族
save,noun,,false,保存,セーブデータを指していることもある。
save,verb,,false,保存,
save file,noun,,false,セーブデータ,
save game directory,noun,,false,セーブデータディレクトリ,
saved game,noun,,false,セーブデータ,
saved games,noun,,false,セーブデータ,
savefile,noun,,false,セーブデータ,
savefiles,noun,,false,セーブデータ,
savegame,noun,,false,セーブデータ,
scenario,noun,,false,シナリオ,
scenario id,noun,,false,シナリオ ID,
scenario objectives,noun,,false,シナリオ目標,
scenarios,noun,,false,シナリオ,
screen,noun,,false,スクリーン、画面,
screen resolution,noun,,false,画面解像度,
script,noun,,false,スクリプト,
scriptable benchmarking,noun,,false,スクリプト化可能なベンチマーク,
scripting,,,false,スクリプティング,スクリプトと訳す場合もある。
scripting engine,noun,,false,スクリプトエンジン,
second watch,noun,,false,深夜,時刻サイクル
select,,,false,選択,
select tool,noun,,false,選択ツール,マップ・シナリオエディタのツールの1つ
selection,noun,,false,選択,
selection tool,noun,,false,選択ツール,select toolの表記ブレだと思われる。
server,noun,,false,サーバー,最後の長音符（ー）は付ける。
server command,noun,,false,サーバーコマンド,
session,noun,,false,セッション,
setting,noun,,false,設定,
settings,noun,,false,設定,
shroud,noun,,false,幕,
side,,,false,陣営,
sides,noun,,false,陣営,
signpost,noun,,false,道しるべ,
skeleton,noun,,false,スケルトン,アンデッドのユニット。
skirmisher,noun,,false,散兵,能力の1つ。支配領域（ZOC）を無視する。
skirmishers,noun,,false,散兵,能力の一つ。
slow,noun,,false,鈍重,ユニットの特性の一つ。移動力が下がるが、HPが増える。
slowed,noun,,false,遅化,ユニットの状態。攻撃力と移動力が半分になる。
slows,noun,,false,遅化,特殊攻撃の一つ。1ターンの間、命中したユニットの攻撃力と移動力を半分にする。
soldier,noun,,false,兵士、戦士,だいたい、ユニットのこと。
sound,noun,,false,効果音,
sounds,noun,,false,効果音,
soundsource tool,noun,,false,音源ツール,マップ・シナリオエディタのツールの1つ
special attack,noun,,false,特殊攻撃,攻撃に付いている、生命吸収などの能力。
special attacks,noun,,false,特殊攻撃,
specified,verb,,false,指定された,
specify,verb,,false,指定する,
starting position,noun,,false,開始地点,シナリオの初ターンにリーダーが配置される位置
starting tool,noun,,false,開始地点ツール,マップ・シナリオエディタのツールの1つ
statistics,noun,,false,統計情報,
status pane,noun,,false,ステータスペイン,ゲーム中のUIの一部で、標準のテーマだと右側のミニマップ等が表示されている部分。
status table,noun,,false,ステータステーブル,敵と味方の現状を確認することができる。
storm trident,noun,,false,ストームトライデント,よくそのへんに落ちている物騒な武器。
straight,adjective,,false,まっすぐな,エディタなどで、地形について。
strong,noun,,false,強力,ユニットの特性の一つ。近接攻撃のダメージと体力が増える。
suffix,noun,,false,拡張子,本来の意味は、接尾辞。意訳して拡張子と訳す。
surrender,verb,,false,降参,
teaching,noun,,false,指導,ユニットの能力の1つ。
terrain,noun,,false,地形,
terrain description,noun,,false,地形情報,
terrain modifier,noun,,false,地形効果,
terrain modifiers,noun,,false,地形効果,
terrain palette,noun,,false,地形パレット,
contention,noun,,false,闘技会,"""Winds of Fate"" で使用されている。
""dominant"" になるための、軍事的統率力を競う試練。"
the Fall,noun,,false,「滅び」,wesnothは第3の太陽を打ち上げに失敗して、wesnothだけでなく多くの文明が失われた。「滅び」はその出来事を指す。
the Great River,noun,,false,大いなる川,
the Three Sisters,noun,,false,三姉妹の島,Alduin島の北北西にある三つの島からなる群島です。
the wide green world,noun,,false,（この）広大な緑の世界,"Idryaのこと。以下Geography of Wesnothより引用。
Wesnothの王国のある世界には「Irdya」という名前があります。しかし、この名前は主要な地図が作られた時代にはほとんど使われることはありません。人々は単に「世界」（the world）と呼ぶか、詩的な表現を使った場合には「広大な緑の世界」（the wide green world）と呼びます。"
time limit,noun,,false,持ち時間,マルチプレイヤーにおいて、ターンごとに設けられる時間制限
time schedule,noun,,false,タイムスケジュール,
timestamp,noun,,false,時刻,直訳するとタイムスタンプ。
tip,noun,,false,ヒント,"使う上で、役に立つコツ、豆知識、小技を集めたもの。
本来の意味は「チップ」。"
top panel,noun,,false,トップパネル,画面の上部に存在する細長い領域。メニューバー。
trait,noun,,false,特性,頑強、敏捷、アンデッドなど、ユニットに付加されている特性。
traits,noun,,false,特性,
tribe,noun,,false,部族,"部族。民族と訳す場合もあるようだ。
クラン（clan）よりも大きい単位。"
trident,noun,,false,トライデント,三叉槍。
triton,noun,,false,トリトン、トライトン,"Merman Triton：精鋭トライトン
英語的な発音。
 → マーマンのトリトン"
troll,noun,,false,トロル,種族の一つ。
trolls,noun,,false,トロル,
troops,noun,,false,ユニット、兵、軍勢,
turn,noun,,false,ターン,ゲーム進行の単位。
turn limit,noun,,false,ターン制限,
turns,noun,,false,ターン,
tusker,noun,,false,キバイノシシ,"""Wings of Victory（勝利の翼）"" に登場。
""tusk（牙）"" からの派生語なので、「キバイノシシ」としてみる。"
tusklet,noun,,false,キバイノシシの子,"""Wings of Victory（勝利の翼）"" に登場。
""tusk（牙）"" からの派生語で、""young tusker"" とされていることから、「キバイノシシの子」としてみる。"
type,noun,,false,種類,ユニットの種類を示している場合はこれ。
undead,noun,,false,アンデッド,"種族の一つ（正確に言うとアンデッドは種族ではないけど）。または、アンデッドが共通して持つ特性。
標準の時代の党派の一つでもある。"
unhealable,noun,,false,回復不能,ユニットの状態。村などでも体力が回復できなくなる。
unit list,noun,,false,ユニット一覧,
unit tests,noun,,false,ユニットテスト,
unit tool,noun,,false,ユニットツール,マップ・シナリオエディタのツールの1つ
unnamed area,noun,,false,無名の領域,
unsafe lua mode,noun,,false,アンセーフLuaモード,
unwalkable,noun,,false,歩行不能,
upkeep,noun,,false,維持費,
user,noun,,false,ユーザー,最後の長音符（ー）は付ける。
user configuration directory,noun,,false,ユーザー設定ディレクトリ,"設定ファイルも参照。
wesnoth --userconfig-path で表示される"
user data directory,,,false,ユーザーデータディレクトリ,データディレクトリとは別物。wesnoth --userdata-path で表示される。
user handler,noun,,false,ユーザーハンドラ,
user-made content,noun,,false,ユーザーメイドコンテンツ,UMCと略されることが良くある
users,noun,,false,ユーザー,
vacant slot,noun,,false,空席,マルチプレイヤー時の用語。
village,noun,,false,村,
village ownership tool,noun,,false,村の所有権ツール,マップ・シナリオエディタのツールの1つ
village tool,noun,,false,村ツール,マップ・シナリオエディタのツールの1つ
villages,noun,,false,村,
vision,noun,,false,視界,
warlord,,,false,将軍,"武装集団のリーダー。
軍閥とか戦国大名のようなイメージ。"
water,noun,,false,水域、水域（浅瀬、深水）,地形関連の話題で、深水（deep water）と浅瀬（shallow water）をまとめて指す場合の訳。
weak,noun,,false,非力,ユニットの特性の一つ。HP、近接攻撃力が減る。
wesnoth client,noun,,false,wesnoth クライアント,wesnothdに接続する側。
wesnothd,noun,,false,wesnothd,"コマンド名。
Battle for Wesnoth マルチプレイヤー・ネットワーク・デーモン"
whiteboard,noun,,false,行動予定,
widget,noun,,false,ウィジェット,GUIの部品の総称。ウィンドウやテキストボックスなど。
windowed mode,noun,,false,ウインドウモード,"フルスクリーンモードに対してこう言う。
ウィンドウ化されたモード。"
wose,noun,,false,ウーズ,種族名。木のような種族。
xBRZ,noun,,false,xBRZ,画像拡大のアルゴリズム
zone of control,noun,,false,支配領域（ZOC）,単にZOCとも。（シミュレーションゲームではよく使われる用語）
zones of control,noun,,false,支配領域（ZOC）,
 the Ocean,noun,,false,大洋,
 unit test,noun,,false,ユニットテスト,"単体テストのこと。テスティングフレームワークを使ったテストを特にこう呼ぶ。
ゲーム内のユニットとは関係ない。"
 volunteer,noun,,false,ボランティア、志願兵,文脈によって、意味に違いがある。
 volunteers ,noun,,false,ボランティア、志願兵,
Lord Companion ,noun,,false,護民官,北部同盟の役職
data directory ,noun,,false,データディレクトリ,"ゲームデータディレクトリを参照。
ユーザーデータディレクトリとは別物。
wesnoth --data-path で表示される。"
dwarves ,noun,,false,ドワーフ,ドワーフ、ドワーフ族
userdata directory ,noun,,false,ユーザーデータディレクトリ,user data directory の表記ゆれ
wesnoth ,noun,,false,wesnoth,"コマンド名。
Battle for Wesnoth ターン制ファンタジー戦略ゲーム"
Winds of Fate,noun,,true,運命の風,メインラインキャンペーンの１つ。wof
Wing,noun,,false,翼,"""Winds of Fate"" のチーム名に用いられる。
必要に応じて鉤括弧を使うか。他の訳語の候補としては、「翼隊」。

ドレークの小規模な戦闘集団。
一般的には、より大きな ""flight"" の別働隊であり、戦争や狩猟で使用される。"
Gorlack,noun,,true,Gorlack,Winds of Fate の主人公。ドレーク。
Resha,noun,,true,Resha,"Winds of Fate の主要キャラクター。ドレーク。
女性らしい。"
Morogor,noun,,false,Morogor,徐々に沈みゆく多島海で、ドレークの始祖の故郷。
rogue,noun,,false,はぐれドレーク,"""Winds of Fate"" で用いられている。
当初「ならず者」を用いたが、形容詞に「（動物が）群れから離れて凶暴な」という意味があり、そのニュアンスを出すために「はぐれドレーク」と訳してみた。ただし、「はぐれ」だと１匹だけのイメージがあるので、要検討。他の候補は「はみ出し者」「異端」など。"
Windpath,noun,,true,風道,"""Winds of Fate"" で使われている。
とりあえず「風道」と訳してみるが、「風の道」も良いか。"
Karron,noun,,true,Karron,"""Winds of Fate"" に登場するドレーク。
女性らしい。"
reascension,noun,,false,復興,"""Winds of Fate"" で使用されている。
とりあえず「復興」と訳す。他の候補は「再興」「復活」「復古」など。

""the Reascension from Exile"" とも呼ばれる。
Morogor のドレークを流浪から帰還させるというグライダー・カーストの願望。これには ２ つの側面がある。
第一には、Morogor の多島海から遠く離れた大陸へ物理的に脱出することだが、広大な大洋と地理的知識が十分に受け継がれなかったことにより困難を極めた。
第二に、遥か西方の「高貴な」ドレークの流浪につながった特性の欠陥を発見し、克服すること。"
Hunt,noun,,true,狩り,"""Winds of Fate"" で使用されている。

高位のドレイクが招集する、組織化された大規模な狩猟のこと。「 Hunt を Call する」ドレークは、ハンターの安全確保だけでなく、最終目標の設定にも責任を負う。

単独で使用されている場合は「狩り」と訳すが、""Call the Hunt"" は「狩猟開始を宣言する」など、場面に応じて訳し方を変える。"
Spoken Memories,noun,,true,口承の記憶,ドレークの伝承。
glider,noun,ドレークのカースト,false,滑空者,"""Winds of Fate"" で使用されている。
滑空ドレークを含むカーストの一種。"
skimmer,noun,,false,ざる,"""Winds of Fate"" で使用されている。
オークが使っている船のこと。
ドレークは船の知識を持たないので、こう呼んでいると思われる。
辞書的には「網杓子」だが、分かりにくいので「ざる」としてみる。"
clasher,noun,,false,粉砕者,ドレークのカースト（系統）の１つ。
harvest,verb,,false,収獲,"サ行変格活用。
ドレークが使用する場合は、「収穫」ではなく「収獲」とする。"
domain,noun,,false,縄張り,"""Winds of Fate"" でドレークが用いる場合は「縄張り」とする。"
Vladnir,noun,,true,Vladnir,"""Winds of Fate"" に登場。
主人公の上司のようなドレーク。"
Greatland,noun,"The drakish word for ""continent"" (along with ""great island"").
Usually used to refer to the Great Continent to the east of Morogor.",true,大地,"ドレーク語で「大陸」を意味する。
通常、Morogor の東にある大陸を指す。"
Elevation,pronoun,,false,エレベーション,
marker||markers,noun,,false,マーカー,
Three Sisters,noun,,true,三姉妹の島,
Alduin,noun,,true,Alduin,
Arinexis,noun,,true,Arinexis,"""Winds of Fate"" に登場するトカゲ。
初登場時は女熟練散兵。一人称は「あたい」。"
Zedrix,noun,,false,Zedrix,"""Winds of Fate"" に登場するトカゲ。
初登場時は僧侶。性別不明。
一人称は「俺」にしておく。"
Oxepotex,noun,,true,Oxepotex,"""Winds of Fate"" に登場するトカゲ。
初登場時は女散兵。"
drakekin,noun,,false,ドレーク類,"""Winds of Fate"" でドレークが用いるドラゴンの総称。
""kin"" は「同類」という意味。
「ドレークキン」「近ドレーク類」「drakekin」なども候補。"
Ravan,noun,,false,Ravan,Mal-Ravanal の生前の名前「東部侵略」性別不詳
Amulet of the Veil,noun,,false,ベールのアミュレット,強い力を秘めたアーティファクト「東部侵略」
Soradoc,noun,,false,Soradoc,Wesnoth の都市名「東部侵略」
Estmarks,noun,,false,Estmarks,地名。Estmark Hills のあたりを指すと思われる。翻訳では Estmark と表記した方がいいかもしれない
Mal-Talar,noun,,false,Mal-Talar,東部侵略の登場人物。割と出番が多い
Addogin,noun,,false,Addogin,東部侵略の登場人物
Hahid al-Ali,noun,,false,Hahid al-Ali,東部侵略の登場人物。デューンの薬師
alswdan,noun,,false,ウルスダーン,東部侵略に登場する薬草。表記は当て字
gwza-alswdan,noun,,false,グーザ・ウルスダーン,東部侵略に登場する薬草の名前。
Safyam,noun,,false,Safyam,東部侵略の登場人物
Hahid,noun,,false,Hahid,東部侵略の登場人物 Hahid al-Ali の略称。
Ashland,noun,,false,Ashland,東部侵略で登場した地名。デューンフォークの土地と思われる
Terraent,noun,,false,Terraent,東部侵略の登場人物。聖騎士
Galdren,noun,,false,Galdren,星読み(seer)。東部侵略に名前だけ登場
Listra,noun,,false,Listra,地名。Great Riverより北にある場所。東部侵略で登場
Dolburras,noun,,false,Dolburras,東部侵略の登場人物。ドワーフ
Yannic,noun,,false,Yannic,東部侵略の登場人物。クラン所属
Whitefang,noun,,false,Whitefang,オークの氏族の名前。「闇へ堕ちて」と「東部侵略」で登場
High Advisor,noun,,false,高位相談役,東部侵略の Dacyn の役職名。王に助言を行う立場
Gaennell,noun,,false,Gaennell,東部侵略の登場人物
silver order,noun,,false,銀の教団,詳細は不明。とりあえず「銀の教団」と訳しておく。
craftling,noun,,false,工匠族,"""Winds of Fate"" で使用されている。
ドワーフを意味する。
craft は「工芸」、ling は「小さい」「…に属する人」を表す接尾辞。
「工芸族」「クラフトリング」「craftling」等も候補。"
caster,noun,,false,鋳工族,"""Winds of Fate"" で使用されている。
人間族のこと。"
Achievements,pronoun,,false,実績,
